banka_derguese,banka_pranuese,data_transaksionit,detajet_e_tjera_te_derguesit,detajet_e_tjera_te_perfituesit,id_i_llogarise_se_derguesit,id_i_llogarise_se_perfituesit,referenca_e_derguesit,shuma_e_transaksionit,tarifat_e_paleve_te_treta,valuta_e_transaksionit,transaction_type,day,month,year,dayofweek,hour,lokacioni_i_derguesit,lokacioni_i_perfituesit
Bank_6,Bank_8,2026-02-05 09:41:00,Sender details 24,Receiver details 24,SENDER_ACC_1087,RECEIVER_ACC_2086,REF_24,3999,79.98,EUR,cash,5,2,2026,3,9,XK,AL
Bank_8,Bank_5,2026-02-02 14:26:00,Sender details 25,Receiver details 25,SENDER_ACC_1061,RECEIVER_ACC_2092,REF_25,244,4.88,EUR,transfer,2,2,2026,0,14,XK,FR
Bank_1,Bank_9,2026-02-06 15:06:00,Sender details 26,Receiver details 26,SENDER_ACC_1057,RECEIVER_ACC_2041,REF_26,2273,45.46,EUR,transfer,6,2,2026,4,15,XK,IT
Bank_5,Bank_3,2026-02-08 09:09:00,Sender details 27,Receiver details 27,SENDER_ACC_1047,RECEIVER_ACC_2057,REF_27,2353,47.06,EUR,cash,8,2,2026,6,9,AL,AL
Bank_6,Bank_3,2026-02-06 09:01:00,Sender details 28,Receiver details 28,SENDER_ACC_1086,RECEIVER_ACC_2074,REF_28,1570,31.4,EUR,cash,6,2,2026,4,9,DE,IT
Bank_7,Bank_7,2026-02-05 17:49:00,Sender details 29,Receiver details 29,SENDER_ACC_1014,RECEIVER_ACC_2014,REF_29,1111,22.22,EUR,cash,5,2,2026,3,17,XK,IT
Bank_7,Bank_4,2026-02-15 11:53:00,Sender details 30,Receiver details 30,SENDER_ACC_1089,RECEIVER_ACC_2019,REF_30,1814,36.28,EUR,transfer,15,2,2026,6,11,AL,IT
Bank_7,Bank_4,2026-02-04 17:41:00,Sender details 31,Receiver details 31,SENDER_ACC_1038,RECEIVER_ACC_2098,REF_31,1860,37.2,EUR,international,4,2,2026,2,17,IT,XK
Bank_4,Bank_10,2026-02-03 17:24:00,Sender details 32,Receiver details 32,SENDER_ACC_1051,RECEIVER_ACC_2061,REF_32,2115,42.3,EUR,international,3,2,2026,1,17,FR,FR
Bank_7,Bank_2,2026-02-09 13:13:00,Sender details 33,Receiver details 33,SENDER_ACC_1091,RECEIVER_ACC_2017,REF_33,4672,93.44,EUR,transfer,9,2,2026,0,13,FR,XK
Bank_7,Bank_7,2026-02-12 12:18:00,Sender details 34,Receiver details 34,SENDER_ACC_1073,RECEIVER_ACC_2014,REF_34,6457,129.14,EUR,transfer,12,2,2026,3,12,IT,FR
Bank_2,Bank_2,2026-02-16 14:43:00,Sender details 35,Receiver details 35,SENDER_ACC_1045,RECEIVER_ACC_2087,REF_35,6350,127.0,EUR,cash,16,2,2026,0,14,DE,IT
Bank_1,Bank_10,2026-02-09 14:28:00,Sender details 36,Receiver details 36,SENDER_ACC_1010,RECEIVER_ACC_2090,REF_36,5092,101.84,EUR,transfer,9,2,2026,0,14,DE,IT
Bank_3,Bank_4,2026-02-07 12:18:00,Sender details 37,Receiver details 37,SENDER_ACC_1096,RECEIVER_ACC_2037,REF_37,1850,37.0,EUR,transfer,7,2,2026,5,12,DE,AL
Bank_1,Bank_5,2026-02-19 14:08:00,Sender details 38,Receiver details 38,SENDER_ACC_1069,RECEIVER_ACC_2072,REF_38,1932,38.64,EUR,international,19,2,2026,3,14,IT,XK
Bank_8,Bank_2,2026-02-08 18:08:00,Sender details 39,Receiver details 39,SENDER_ACC_1042,RECEIVER_ACC_2051,REF_39,1077,21.54,EUR,cash,8,2,2026,6,18,AL,XK
Bank_4,Bank_4,2026-02-19 09:35:00,Sender details 40,Receiver details 40,SENDER_ACC_1077,RECEIVER_ACC_2013,REF_40,4103,82.06,EUR,transfer,19,2,2026,3,9,IT,IT
Bank_10,Bank_3,2026-02-08 08:30:00,Sender details 41,Receiver details 41,SENDER_ACC_1045,RECEIVER_ACC_2030,REF_41,1943,38.86,EUR,cash,8,2,2026,6,8,IT,AL
Bank_2,Bank_3,2026-02-06 12:58:00,Sender details 42,Receiver details 42,SENDER_ACC_1064,RECEIVER_ACC_2092,REF_42,5903,118.06,EUR,international,6,2,2026,4,12,AL,FR
Bank_6,Bank_10,2026-02-14 12:37:00,Sender details 43,Receiver details 43,SENDER_ACC_1078,RECEIVER_ACC_2002,REF_43,1866,37.32,EUR,international,14,2,2026,5,12,AL,AL
Bank_9,Bank_7,2026-02-18 11:22:00,Sender details 44,Receiver details 44,SENDER_ACC_1027,RECEIVER_ACC_2077,REF_44,2428,48.56,EUR,transfer,18,2,2026,2,11,DE,IT
Bank_6,Bank_10,2026-02-02 14:49:00,Sender details 45,Receiver details 45,SENDER_ACC_1021,RECEIVER_ACC_2072,REF_45,345,6.9,EUR,cash,2,2,2026,0,14,AL,XK
Bank_5,Bank_5,2026-02-09 11:56:00,Sender details 46,Receiver details 46,SENDER_ACC_1079,RECEIVER_ACC_2035,REF_46,3261,65.22,EUR,cash,9,2,2026,0,11,FR,XK
Bank_7,Bank_6,2026-02-13 08:24:00,Sender details 47,Receiver details 47,SENDER_ACC_1020,RECEIVER_ACC_2040,REF_47,6672,133.44,EUR,cash,13,2,2026,4,8,IT,IT
Bank_8,Bank_3,2026-02-06 15:10:00,Sender details 48,Receiver details 48,SENDER_ACC_1037,RECEIVER_ACC_2000,REF_48,5778,115.56,EUR,international,6,2,2026,4,15,XK,FR
Bank_8,Bank_1,2026-02-09 18:41:00,Sender details 49,Receiver details 49,SENDER_ACC_1032,RECEIVER_ACC_2005,REF_49,4988,99.76,EUR,international,9,2,2026,0,18,XK,AL
Bank_5,Bank_1,2026-02-08 09:34:00,Sender details 50,Receiver details 50,SENDER_ACC_1016,RECEIVER_ACC_2001,REF_50,6019,120.38,EUR,international,8,2,2026,6,9,XK,XK
Bank_1,Bank_7,2026-02-13 18:50:00,Sender details 51,Receiver details 51,SENDER_ACC_1060,RECEIVER_ACC_2092,REF_51,2872,57.44,EUR,transfer,13,2,2026,4,18,FR,IT
Bank_2,Bank_5,2026-02-04 12:28:00,Sender details 52,Receiver details 52,SENDER_ACC_1028,RECEIVER_ACC_2018,REF_52,4721,94.42,EUR,international,4,2,2026,2,12,FR,AL
Bank_3,Bank_10,2026-02-21 18:00:00,Sender details 53,Receiver details 53,SENDER_ACC_1081,RECEIVER_ACC_2039,REF_53,1566,31.32,EUR,international,21,2,2026,5,18,XK,AL
Bank_9,Bank_9,2026-02-17 09:53:00,Sender details 54,Receiver details 54,SENDER_ACC_1002,RECEIVER_ACC_2026,REF_54,3571,71.42,EUR,international,17,2,2026,1,9,AL,IT
Bank_9,Bank_3,2026-02-21 16:32:00,Sender details 55,Receiver details 55,SENDER_ACC_1082,RECEIVER_ACC_2082,REF_55,2160,43.2,EUR,international,21,2,2026,5,16,FR,FR
Bank_3,Bank_2,2026-02-21 16:29:00,Sender details 56,Receiver details 56,SENDER_ACC_1008,RECEIVER_ACC_2004,REF_56,1636,32.72,EUR,international,21,2,2026,5,16,IT,DE
Bank_8,Bank_2,2026-02-11 18:09:00,Sender details 57,Receiver details 57,SENDER_ACC_1001,RECEIVER_ACC_2058,REF_57,2469,49.38,EUR,international,11,2,2026,2,18,XK,XK
Bank_9,Bank_9,2026-02-20 15:15:00,Sender details 58,Receiver details 58,SENDER_ACC_1051,RECEIVER_ACC_2064,REF_58,1392,27.84,EUR,international,20,2,2026,4,15,FR,AL
Bank_1,Bank_6,2026-02-14 11:03:00,Sender details 59,Receiver details 59,SENDER_ACC_1100,RECEIVER_ACC_2097,REF_59,5378,107.56,EUR,international,14,2,2026,5,11,AL,FR
Bank_6,Bank_5,2026-02-06 08:48:00,Sender details 60,Receiver details 60,SENDER_ACC_1000,RECEIVER_ACC_2008,REF_60,2228,44.56,EUR,cash,6,2,2026,4,8,DE,DE
Bank_5,Bank_4,2026-02-17 08:34:00,Sender details 61,Receiver details 61,SENDER_ACC_1077,RECEIVER_ACC_2005,REF_61,4088,81.76,EUR,international,17,2,2026,1,8,XK,DE
Bank_3,Bank_5,2026-02-18 10:07:00,Sender details 62,Receiver details 62,SENDER_ACC_1079,RECEIVER_ACC_2021,REF_62,3944,78.88,EUR,cash,18,2,2026,2,10,AL,FR
Bank_6,Bank_2,2026-02-10 18:23:00,Sender details 63,Receiver details 63,SENDER_ACC_1001,RECEIVER_ACC_2033,REF_63,5244,104.88,EUR,cash,10,2,2026,1,18,XK,IT
Bank_1,Bank_7,2026-02-14 10:51:00,Sender details 64,Receiver details 64,SENDER_ACC_1093,RECEIVER_ACC_2014,REF_64,2371,47.42,EUR,transfer,14,2,2026,5,10,DE,FR
Bank_1,Bank_5,2026-02-20 11:05:00,Sender details 65,Receiver details 65,SENDER_ACC_1062,RECEIVER_ACC_2032,REF_65,1905,38.1,EUR,international,20,2,2026,4,11,AL,AL
Bank_8,Bank_4,2026-02-21 14:31:00,Sender details 66,Receiver details 66,SENDER_ACC_1051,RECEIVER_ACC_2014,REF_66,1041,20.82,EUR,transfer,21,2,2026,5,14,AL,DE
Bank_5,Bank_3,2026-02-05 12:07:00,Sender details 67,Receiver details 67,SENDER_ACC_1035,RECEIVER_ACC_2021,REF_67,2073,41.46,EUR,international,5,2,2026,3,12,XK,IT
Bank_9,Bank_7,2026-02-05 11:18:00,Sender details 68,Receiver details 68,SENDER_ACC_1035,RECEIVER_ACC_2066,REF_68,5366,107.32,EUR,transfer,5,2,2026,3,11,IT,AL
Bank_2,Bank_7,2026-02-17 12:10:00,Sender details 69,Receiver details 69,SENDER_ACC_1025,RECEIVER_ACC_2020,REF_69,1664,33.28,EUR,international,17,2,2026,1,12,AL,DE
Bank_9,Bank_4,2026-02-09 15:45:00,Sender details 70,Receiver details 70,SENDER_ACC_1004,RECEIVER_ACC_2040,REF_70,2972,59.44,EUR,cash,9,2,2026,0,15,FR,DE
Bank_4,Bank_4,2026-02-12 11:33:00,Sender details 71,Receiver details 71,SENDER_ACC_1036,RECEIVER_ACC_2085,REF_71,936,18.72,EUR,cash,12,2,2026,3,11,AL,DE
Bank_3,Bank_10,2026-02-18 13:48:00,Sender details 72,Receiver details 72,SENDER_ACC_1088,RECEIVER_ACC_2096,REF_72,1246,24.92,EUR,cash,18,2,2026,2,13,AL,AL
Bank_1,Bank_6,2026-02-02 18:04:00,Sender details 73,Receiver details 73,SENDER_ACC_1050,RECEIVER_ACC_2093,REF_73,6196,123.92,EUR,transfer,2,2,2026,0,18,DE,IT
Bank_5,Bank_8,2026-02-16 09:28:00,Sender details 74,Receiver details 74,SENDER_ACC_1026,RECEIVER_ACC_2068,REF_74,5142,102.84,EUR,transfer,16,2,2026,0,9,FR,AL
Bank_7,Bank_8,2026-02-07 12:08:00,Sender details 75,Receiver details 75,SENDER_ACC_1100,RECEIVER_ACC_2038,REF_75,1753,35.06,EUR,international,7,2,2026,5,12,XK,DE
Bank_4,Bank_4,2026-02-02 16:06:00,Sender details 76,Receiver details 76,SENDER_ACC_1055,RECEIVER_ACC_2037,REF_76,3794,75.88,EUR,transfer,2,2,2026,0,16,XK,DE
Bank_9,Bank_3,2026-02-04 18:07:00,Sender details 77,Receiver details 77,SENDER_ACC_1045,RECEIVER_ACC_2059,REF_77,4403,88.06,EUR,international,4,2,2026,2,18,XK,FR
Bank_2,Bank_5,2026-02-04 12:02:00,Sender details 78,Receiver details 78,SENDER_ACC_1070,RECEIVER_ACC_2080,REF_78,4546,90.92,EUR,international,4,2,2026,2,12,XK,IT
Bank_7,Bank_3,2026-02-07 09:18:00,Sender details 79,Receiver details 79,SENDER_ACC_1047,RECEIVER_ACC_2092,REF_79,6837,136.74,EUR,cash,7,2,2026,5,9,AL,FR
Bank_6,Bank_3,2026-02-05 08:18:00,Sender details 80,Receiver details 80,SENDER_ACC_1070,RECEIVER_ACC_2026,REF_80,5304,106.08,EUR,international,5,2,2026,3,8,AL,AL
Bank_6,Bank_6,2026-02-14 08:08:00,Sender details 81,Receiver details 81,SENDER_ACC_1084,RECEIVER_ACC_2047,REF_81,6754,135.08,EUR,transfer,14,2,2026,5,8,XK,IT
Bank_1,Bank_3,2026-02-20 13:53:00,Sender details 82,Receiver details 82,SENDER_ACC_1043,RECEIVER_ACC_2049,REF_82,1847,36.94,EUR,international,20,2,2026,4,13,AL,IT
Bank_9,Bank_9,2026-02-02 08:07:00,Sender details 83,Receiver details 83,SENDER_ACC_1062,RECEIVER_ACC_2058,REF_83,1112,22.24,EUR,cash,2,2,2026,0,8,DE,AL
Bank_5,Bank_5,2026-02-20 16:15:00,Sender details 84,Receiver details 84,SENDER_ACC_1007,RECEIVER_ACC_2019,REF_84,1311,26.22,EUR,cash,20,2,2026,4,16,FR,FR
Bank_9,Bank_3,2026-02-01 13:28:00,Sender details 85,Receiver details 85,SENDER_ACC_1051,RECEIVER_ACC_2074,REF_85,1891,37.82,EUR,transfer,1,2,2026,6,13,XK,DE
Bank_9,Bank_4,2026-02-09 14:26:00,Sender details 86,Receiver details 86,SENDER_ACC_1073,RECEIVER_ACC_2085,REF_86,3844,76.88,EUR,international,9,2,2026,0,14,DE,IT
Bank_2,Bank_4,2026-02-08 11:20:00,Sender details 87,Receiver details 87,SENDER_ACC_1029,RECEIVER_ACC_2016,REF_87,429,8.58,EUR,cash,8,2,2026,6,11,AL,FR
Bank_4,Bank_2,2026-02-05 13:45:00,Sender details 88,Receiver details 88,SENDER_ACC_1079,RECEIVER_ACC_2035,REF_88,3963,79.26,EUR,transfer,5,2,2026,3,13,XK,IT
Bank_6,Bank_9,2026-02-17 18:15:00,Sender details 89,Receiver details 89,SENDER_ACC_1037,RECEIVER_ACC_2057,REF_89,5011,100.22,EUR,transfer,17,2,2026,1,18,DE,XK
Bank_6,Bank_7,2026-02-01 18:31:00,Sender details 90,Receiver details 90,SENDER_ACC_1041,RECEIVER_ACC_2005,REF_90,5183,103.66,EUR,transfer,1,2,2026,6,18,XK,DE
Bank_6,Bank_8,2026-02-21 13:33:00,Sender details 91,Receiver details 91,SENDER_ACC_1067,RECEIVER_ACC_2078,REF_91,1793,35.86,EUR,transfer,21,2,2026,5,13,XK,XK
Bank_2,Bank_2,2026-02-14 13:14:00,Sender details 92,Receiver details 92,SENDER_ACC_1033,RECEIVER_ACC_2085,REF_92,793,15.86,EUR,international,14,2,2026,5,13,AL,FR
Bank_4,Bank_10,2026-02-07 10:09:00,Sender details 93,Receiver details 93,SENDER_ACC_1088,RECEIVER_ACC_2050,REF_93,6748,134.96,EUR,international,7,2,2026,5,10,AL,IT
Bank_9,Bank_8,2026-02-15 12:59:00,Sender details 94,Receiver details 94,SENDER_ACC_1027,RECEIVER_ACC_2083,REF_94,2880,57.6,EUR,transfer,15,2,2026,6,12,XK,AL
Bank_9,Bank_2,2026-02-21 09:01:00,Sender details 95,Receiver details 95,SENDER_ACC_1038,RECEIVER_ACC_2022,REF_95,2633,52.66,EUR,international,21,2,2026,5,9,IT,AL
Bank_1,Bank_1,2026-02-21 12:04:00,Sender details 96,Receiver details 96,SENDER_ACC_1051,RECEIVER_ACC_2019,REF_96,3702,74.04,EUR,international,21,2,2026,5,12,FR,FR
Bank_7,Bank_8,2026-02-10 12:24:00,Sender details 97,Receiver details 97,SENDER_ACC_1098,RECEIVER_ACC_2082,REF_97,6732,134.64,EUR,transfer,10,2,2026,1,12,IT,IT
Bank_4,Bank_2,2026-02-04 14:10:00,Sender details 98,Receiver details 98,SENDER_ACC_1073,RECEIVER_ACC_2096,REF_98,755,15.1,EUR,transfer,4,2,2026,2,14,XK,AL
Bank_10,Bank_7,2026-02-12 18:08:00,Sender details 99,Receiver details 99,SENDER_ACC_1049,RECEIVER_ACC_2061,REF_99,6215,124.3,EUR,international,12,2,2026,3,18,FR,AL
Bank_7,Bank_4,2026-02-06 11:47:00,Sender details 100,Receiver details 100,SENDER_ACC_1050,RECEIVER_ACC_2051,REF_100,4975,99.5,EUR,transfer,6,2,2026,4,11,XK,IT
Bank_2,Bank_3,2026-02-09 18:16:00,Sender details 101,Receiver details 101,SENDER_ACC_1047,RECEIVER_ACC_2044,REF_101,6647,132.94,EUR,international,9,2,2026,0,18,IT,DE
Bank_5,Bank_7,2026-02-11 18:09:00,Sender details 102,Receiver details 102,SENDER_ACC_1053,RECEIVER_ACC_2072,REF_102,2012,40.24,EUR,international,11,2,2026,2,18,FR,FR
Bank_4,Bank_4,2026-02-19 13:20:00,Sender details 103,Receiver details 103,SENDER_ACC_1085,RECEIVER_ACC_2031,REF_103,5440,108.8,EUR,transfer,19,2,2026,3,13,XK,AL
Bank_6,Bank_2,2026-02-10 11:08:00,Sender details 104,Receiver details 104,SENDER_ACC_1095,RECEIVER_ACC_2084,REF_104,1307,26.14,EUR,transfer,10,2,2026,1,11,DE,AL
Bank_4,Bank_7,2026-02-17 09:45:00,Sender details 105,Receiver details 105,SENDER_ACC_1041,RECEIVER_ACC_2048,REF_105,2635,52.7,EUR,transfer,17,2,2026,1,9,FR,FR
Bank_3,Bank_5,2026-02-19 14:46:00,Sender details 106,Receiver details 106,SENDER_ACC_1073,RECEIVER_ACC_2026,REF_106,100,2.0,EUR,transfer,19,2,2026,3,14,XK,IT
Bank_6,Bank_7,2026-02-18 10:32:00,Sender details 107,Receiver details 107,SENDER_ACC_1041,RECEIVER_ACC_2031,REF_107,2579,51.58,EUR,transfer,18,2,2026,2,10,IT,XK
Bank_9,Bank_8,2026-02-06 10:40:00,Sender details 108,Receiver details 108,SENDER_ACC_1079,RECEIVER_ACC_2017,REF_108,1208,24.16,EUR,international,6,2,2026,4,10,DE,DE
Bank_10,Bank_2,2026-02-17 15:23:00,Sender details 109,Receiver details 109,SENDER_ACC_1007,RECEIVER_ACC_2030,REF_109,3801,76.02,EUR,transfer,17,2,2026,1,15,DE,FR
Bank_10,Bank_3,2026-02-03 11:01:00,Sender details 110,Receiver details 110,SENDER_ACC_1001,RECEIVER_ACC_2003,REF_110,3927,78.54,EUR,cash,3,2,2026,1,11,FR,AL
Bank_4,Bank_4,2026-02-16 11:30:00,Sender details 111,Receiver details 111,SENDER_ACC_1080,RECEIVER_ACC_2006,REF_111,3295,65.9,EUR,international,16,2,2026,0,11,IT,DE
Bank_4,Bank_8,2026-02-06 12:06:00,Sender details 112,Receiver details 112,SENDER_ACC_1002,RECEIVER_ACC_2001,REF_112,2805,56.1,EUR,cash,6,2,2026,4,12,FR,AL
Bank_2,Bank_10,2026-02-10 08:43:00,Sender details 113,Receiver details 113,SENDER_ACC_1097,RECEIVER_ACC_2095,REF_113,2956,59.12,EUR,international,10,2,2026,1,8,XK,IT
Bank_3,Bank_7,2026-02-16 10:22:00,Sender details 114,Receiver details 114,SENDER_ACC_1007,RECEIVER_ACC_2007,REF_114,3211,64.22,EUR,transfer,16,2,2026,0,10,IT,AL
Bank_7,Bank_1,2026-02-03 18:26:00,Sender details 115,Receiver details 115,SENDER_ACC_1078,RECEIVER_ACC_2090,REF_115,312,6.24,EUR,cash,3,2,2026,1,18,FR,AL
Bank_10,Bank_9,2026-02-18 10:34:00,Sender details 116,Receiver details 116,SENDER_ACC_1099,RECEIVER_ACC_2014,REF_116,3993,79.86,EUR,international,18,2,2026,2,10,AL,AL
Bank_10,Bank_10,2026-02-06 09:24:00,Sender details 117,Receiver details 117,SENDER_ACC_1096,RECEIVER_ACC_2087,REF_117,4682,93.64,EUR,cash,6,2,2026,4,9,IT,AL
Bank_10,Bank_5,2026-02-01 14:21:00,Sender details 118,Receiver details 118,SENDER_ACC_1073,RECEIVER_ACC_2033,REF_118,1620,32.4,EUR,transfer,1,2,2026,6,14,AL,IT
Bank_7,Bank_3,2026-02-01 16:33:00,Sender details 119,Receiver details 119,SENDER_ACC_1065,RECEIVER_ACC_2073,REF_119,5428,108.56,EUR,international,1,2,2026,6,16,DE,DE
Bank_3,Bank_8,2026-02-17 13:46:00,Sender details 120,Receiver details 120,SENDER_ACC_1078,RECEIVER_ACC_2091,REF_120,1016,20.32,EUR,transfer,17,2,2026,1,13,DE,IT
Bank_2,Bank_3,2026-02-12 15:15:00,Sender details 121,Receiver details 121,SENDER_ACC_1094,RECEIVER_ACC_2065,REF_121,1392,27.84,EUR,cash,12,2,2026,3,15,DE,AL
Bank_7,Bank_8,2026-02-06 09:01:00,Sender details 122,Receiver details 122,SENDER_ACC_1068,RECEIVER_ACC_2067,REF_122,655,13.1,EUR,international,6,2,2026,4,9,FR,DE
Bank_6,Bank_2,2026-02-11 09:38:00,Sender details 123,Receiver details 123,SENDER_ACC_1036,RECEIVER_ACC_2002,REF_123,5942,118.84,EUR,cash,11,2,2026,2,9,XK,FR
Bank_4,Bank_7,2026-02-17 16:53:00,Sender details 124,Receiver details 124,SENDER_ACC_1026,RECEIVER_ACC_2072,REF_124,343,6.86,EUR,cash,17,2,2026,1,16,DE,DE
Bank_3,Bank_4,2026-02-04 16:49:00,Sender details 125,Receiver details 125,SENDER_ACC_1022,RECEIVER_ACC_2087,REF_125,1890,37.8,EUR,cash,4,2,2026,2,16,AL,AL
Bank_10,Bank_2,2026-02-19 08:20:00,Sender details 126,Receiver details 126,SENDER_ACC_1027,RECEIVER_ACC_2006,REF_126,5169,103.38,EUR,international,19,2,2026,3,8,AL,FR
Bank_2,Bank_8,2026-02-11 15:09:00,Sender details 127,Receiver details 127,SENDER_ACC_1030,RECEIVER_ACC_2074,REF_127,6797,135.94,EUR,transfer,11,2,2026,2,15,XK,DE
Bank_4,Bank_1,2026-02-16 09:37:00,Sender details 128,Receiver details 128,SENDER_ACC_1039,RECEIVER_ACC_2082,REF_128,2257,45.14,EUR,cash,16,2,2026,0,9,FR,IT
Bank_3,Bank_1,2026-02-15 09:47:00,Sender details 129,Receiver details 129,SENDER_ACC_1070,RECEIVER_ACC_2043,REF_129,964,19.28,EUR,transfer,15,2,2026,6,9,XK,XK
Bank_4,Bank_1,2026-02-08 09:52:00,Sender details 130,Receiver details 130,SENDER_ACC_1057,RECEIVER_ACC_2070,REF_130,1247,24.94,EUR,international,8,2,2026,6,9,IT,IT
Bank_3,Bank_1,2026-02-21 11:22:00,Sender details 131,Receiver details 131,SENDER_ACC_1001,RECEIVER_ACC_2026,REF_131,5090,101.8,EUR,cash,21,2,2026,5,11,AL,XK
Bank_9,Bank_4,2026-02-09 09:50:00,Sender details 132,Receiver details 132,SENDER_ACC_1028,RECEIVER_ACC_2023,REF_132,1387,27.74,EUR,international,9,2,2026,0,9,DE,DE
